geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
HOMER1	BS_T55Y4Z0Y	9.19773393696604e-10	5.0238803749311026e-5	4.63	1.96	3807	3614.07	932.26	12.03	TRUE	16	4	3
ALDH1L2	BS_WGK8ZMVA	1.227142899553764e-9	5.02706903615147e-5	4.52	2.12	3277	4087.45	939.05	9.58	TRUE	30	1	4
RAB28	BS_RX1YTZ7F	4.6030323724768476e-9	5.0284307329913954e-5	5.07	0.83	2040	1183.69	665.69	89.14	TRUE	102	1	15
FKBP15	BS_4A45GGSW	3.070445032486556e-10	5.031309444281065e-5	-6.76	-0.79	1887	1541.63	2657.45	170.36	TRUE	1	2	1
PRDM5	BS_6MZ7FRZH	6.141812799495586e-10	5.032065452427827e-5	-8	-3.66	58	42	540	12.85	TRUE	3	4	2
SRSF4	BS_JTWNJ8T7	3.0753938480071425e-9	5.039418699455247e-5	-6.55	-0.74	1102	2251.75	3754.73	178.9	TRUE	79	1	10
WASHC2A	BS_JR5ATB7G	3.2271390227659553e-9	5.043770578858028e-5	5.05	1.2	12766	6647.02	2882.53	36.79	TRUE	70	5	10.5
TMEM170A	BS_JR5ATB7G	3.3858546248046026e-9	5.043770578858028e-5	5.17	1.04	2578	3390.07	1650.11	53.23	TRUE	70	2	10.5
ETFB	BS_R439VVPK	6.697415269246622e-9	5.046797319060619e-5	-6.75	-2.05	237	397.58	1650.52	27.24	TRUE	145	8	21.5
COMMD5	BS_R439VVPK	6.775772916722052e-9	5.046797319060619e-5	-6.25	-0.91	526	486.68	911.43	121.79	TRUE	145	2	21.5
RHBDF1	BS_D0RDN4K5	4.622258045324071e-9	5.049433184502592e-5	-8.12	-3.57	41	81.96	997.61	12.19	TRUE	100	2	15
VPS53	BS_2HNXVFAS	2.190799191904905e-8	5.056196285229476e-5	5.09	0.76	9072	7627.9	4485.07	92.53	TRUE	170	3	71
ZNF512B	BS_7327SDAQ	8.643871544194662e-9	5.058595749768841e-5	-6.3	-1.01	2562	1528.38	3086.35	86.63	TRUE	71	3	28
CD22	BS_30VC3R2Q	6.183996537927141e-10	5.066627126602122e-5	3.75	3.54	1105	785.75	67.45	2.23	TRUE	4	1	2
RSPH9	BS_7G42J2SK	4.6476193070436074e-9	5.077138257493277e-5	-9.01	-7.17	3	0.33	63.86	5.04	TRUE	131	1	15
KDM4C	BS_A0DYVX9J	1.7062666449784505e-8	5.083512706412053e-5	4.94	1.07	1958	3106.36	1482.16	45.63	TRUE	108	4	55
GLMP	BS_K25F4J3V	6.518764742933008e-9	5.086578076925242e-5	-7.1	-2.19	54	235.43	1091.56	27.99	TRUE	131	7	21
NDUFA7	BS_KRS4EV4X	2.1741158717017694e-9	5.089373784357975e-5	-7.22	-1.18	145	375.57	851.52	98.82	TRUE	26	2	7
IMPG2	BS_VJVDJABP	3.4534582446038555e-9	5.1444769547519584e-5	-9.47	-7.19	377	1.11	163.59	4.63	TRUE	60	4	11
TTC28	BS_QX12J6W1	1.5423308832060522e-8	5.157760557792981e-5	-6.62	-1.58	3203	1873.7	5614.01	38.28	TRUE	178	2	49
KIAA0556	BS_VJVDJABP	3.7810719751285474e-9	5.163134045361446e-5	5.19	1.08	20428	5427.26	2565.75	46.64	TRUE	60	2	12
FAM20B	BS_QW60M0FE	3.789860176523722e-9	5.175134520919538e-5	-6.56	-1.19	3434	1556.33	3560.98	67.42	TRUE	84	3	12
RBM4	BS_VXHWZJDC	9.170452142695945e-9	5.1817022350854595e-5	5.43	0.67	1756	5472.24	3443.24	144.51	TRUE	135	1	29
ZNF43	BS_53M8PP88	2.2171991060019843e-9	5.1902270489179895e-5	-5.77	-2	280	330.21	1321.07	30.16	TRUE	18	7	7
ZC4H2	BS_R439VVPK	7.291323648027866e-9	5.1946733317286845e-5	-6.38	-3.4	71	68.58	732.5	12.5	TRUE	145	11	23
HMGA1	BS_KBT7MQ6H	6.361260619564698e-10	5.2118618464291334e-5	4.89	1.81	7631	13353.47	3799.97	14.92	TRUE	44	3	2
MKI67	BS_39CGACC7	1.2740655515593932e-9	5.219290668267326e-5	-8.82	-3.96	6	129.76	2316.79	14.81	TRUE	5	3	4
RIOX2	BS_RJC3WDD6	3.842363875059964e-9	5.2468294358016206e-5	-7.51	-2.43	103	263.95	1428.13	22.09	TRUE	47	2	12
MON2	BS_BMMY0H73	6.425532313634154e-9	5.264520463982974e-5	-6.26	-0.85	1876	2017.58	3632.39	123.75	TRUE	121	6	20
SUPT5H	BS_X4DD4KSZ	9.01429424939436e-9	5.2753757785511466e-5	5.32	0.71	21017	10731.38	6570.05	115.29	TRUE	65	5	28
ZC3H11B	BS_JRYJGYC4	8.721888834146497e-9	5.293299710376875e-5	4.61	1.65	1174	508.97	162.05	16.73	TRUE	45	2	27
NIT2	BS_3F5PR9GS	2.2721621129530532e-9	5.318889596451531e-5	5.24	0.95	2464	1589.49	824.04	67.7	TRUE	100	1	7
KCNAB2	BS_ZVZDDW2G	4.869661940754288e-9	5.319701401315866e-5	4.79	1.68	26715	5209.94	1628.59	16.1	TRUE	35	3	14
RHBDF1	BS_ZVZDDW2G	4.795354411055829e-9	5.319701401315866e-5	4.48	1.87	16599	3662.01	997.61	12.19	TRUE	35	2	14
SEMA3F	BS_ZVZDDW2G	4.3626271542803745e-9	5.319701401315866e-5	4.12	2.61	34772	3295	539.59	5.01	TRUE	35	1	14
C1orf131	BS_VVTHDRBD	8.452738153485388e-9	5.327258483291609e-5	-6.48	-1.07	198	183.22	384.01	102.46	TRUE	63	2	26
PCYOX1	BS_4CP4T22V	6.179660433771765e-9	5.3295521065688485e-5	-6.61	-1.27	1064	1604.82	3862.93	60.47	TRUE	86	2	19
PIGG	BS_RX1YTZ7F	5.2136068326840144e-9	5.339468102040968e-5	5.27	0.84	4127	3629.56	2019.52	82.7	TRUE	102	2	16
ARHGEF6	BS_C41DJZ1F	4.236275887887733e-9	5.3397458318303825e-5	4.59	1.75	15595	12237.12	3631.54	14.6	TRUE	67	4	13
FNIP2	BS_GAGRGSSX	8.798712162401163e-9	5.339923659493099e-5	4.92	1.34	5362	6978.61	2759.22	27.25	TRUE	132	1	27
SRP9	BS_Y08D5P8N	8.806869330486928e-9	5.3448742311280905e-5	-6.88	-0.98	312	2218.01	4372.97	111.08	TRUE	69	4	26.5
DCT	BS_Y08D5P8N	8.58417691320685e-9	5.3448742311280905e-5	3.49	3.59	3852	1522.65	128.16	1.81	TRUE	69	1	26.5
TFG	BS_WJGFDRWK	5.877830460664778e-9	5.350868177763107e-5	5.24	0.66	7066	4557.84	2874.03	137.6	TRUE	113	3	18
NDUFB1	BS_D0RDN4K5	5.235064605973225e-9	5.361443885734573e-5	5.21	0.79	1400	1756.67	1016.8	103.67	TRUE	100	2	16
USP2	BS_6YMJ621P	9.8190900203184e-10	5.363270343633292e-5	-9.34	-5.05	9	29.33	1080.05	8.67	TRUE	33	1	3
TAF1	BS_8MA5B8Y9	2.9461944778317477e-9	5.364121467072161e-5	5.56	0.66	3712	6297.47	3979.62	148.68	TRUE	51	3	9
ITGAE	BS_C3P5BC92	9.825954982717528e-10	5.367020044386541e-5	5.24	1.3	846	775.38	313.68	35.01	TRUE	8	3	3
RNF34	BS_74FS6GMW	6.550896978493034e-9	5.367233330621204e-5	5.24	0.68	5543	2248.17	1407.36	133.36	TRUE	73	2	20
LRRC66	BS_Z8F3GM85	6.225355607231723e-9	5.368961198797061e-5	4.08	2.15	1734	214.33	48.34	8.52	TRUE	32	3	19
ZNF157	BS_N6N147BY	9.847234817975466e-9	5.3786432710928994e-5	-9.02	-5.22	0	0	64.44	16.39	TRUE	61	7	30
CGGBP1	BS_6VPKXXMR	5.600737965635936e-9	5.398536411286973e-5	5.26	0.66	8934	5666.26	3580.1	139.56	TRUE	90	1	17
