geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
SLX4IP	BS_TRKH2SPE	2.0798159004753744e-8	3.711596889202937e-4	-7.27	-3.85	84	60.75	892.25	9.68	TRUE	11	2	9
NABP2	BS_A0DYVX9J	9.258517478073627e-8	3.8128986463577816e-4	4.59	1.34	4752	3127.78	1245.95	23.47	TRUE	75	1	39
KIAA0825	BS_1EN5V3XW	2.164103795824072e-8	3.8620153421545586e-4	4.42	1.73	5858	808.59	241.87	13.59	TRUE	31	1	9
FAXC	BS_84XCR9GG	4.3383447452540957e-8	4.098770068849998e-4	-7.86	-5.52	3	11.55	699.5	6.63	TRUE	55	1	17
RAD51B	BS_FKASA3MN	2.5557844034644357e-9	4.104900484357015e-4	4.67	2.02	2733	928.08	232.78	10.51	TRUE	7	1	1
ATG4A	BS_4B0BAVTX	5.701944113135606e-8	4.16273431288215e-4	-6.35	-2.02	90	78.64	318.52	26.25	TRUE	54	1	22
SUGP1	BS_G3NN392N	2.6598564036672954e-9	4.2720527697616965e-4	5.29	0.97	4999	2443.52	1249.67	61.52	TRUE	4	1	1
ZNF320	BS_JS95PE0J	2.7409621300392178e-8	4.402318427153195e-4	-6.57	-2.59	138	183.26	1119.4	17.27	TRUE	16	1	10
LGALS8	BS_A0DYVX9J	1.0987448827673067e-7	4.4117946679525836e-4	-6.51	-3.07	70	233.19	1984.48	12.33	TRUE	75	2	40
SPIN2A	BS_F9Y4Z92G	5.53797935411376e-9	4.447334075254101e-4	4.11	2.4	759	164.25	29.46	6.36	TRUE	5	1	1.5
SLX1B	BS_F9Y4Z92G	4.6870108119397104e-9	4.447334075254101e-4	-7	-6.13	9	8.42	643.12	5.91	TRUE	5	2	1.5
SLC26A10	BS_7327SDAQ	2.5078665081878187e-8	4.4754872429807885e-4	4.01	2.65	1333	1171.27	187.91	4.36	TRUE	16	1	9
TOP3A	BS_H97S5SQN	6.773558807234103e-8	4.532982905845828e-4	4.54	1.46	4774	4416.09	1640.81	19.11	TRUE	36	1	24
COX6B1	BS_T1YHK6B7	2.5541830798916496e-8	4.5581428489001357e-4	4.78	1.4	6926	7294.5	2762.36	22.73	TRUE	18	1	9
HNRNPL	BS_Q13FQ8FV	2.287936323933923e-8	4.5933798795604557e-4	5.13	0.91	2031	16697.51	8885.88	64.32	TRUE	35	1	8
FBXL14	BS_B1C6GZ84	1.4347268410995621e-8	4.608691481931218e-4	4.7	1.9	5540	3354.45	913.25	11.13	TRUE	12	2	5
PLEKHA6	BS_YA0KMBRT	7.266925599769697e-8	4.6686264105603943e-4	3.66	2.85	62162	13818.37	1915.27	3.22	TRUE	48	1	25
MICALL2	BS_AWH9757B	1.1704474267979879e-8	4.6997021762328186e-4	4.32	2.48	12907	7653.89	1353.27	5.49	TRUE	13	1	4
EMB	BS_JJVH7WR0	2.9334489533718716e-8	4.7114756679828587e-4	3.99	2.68	2071	1806.71	286.08	4.17	TRUE	18	1	10
GPATCH2	BS_VVTHDRBD	6.841643887877548e-8	4.777613865796001e-4	-6.08	-1.34	318	403.53	1016.94	49.62	TRUE	36	1	23
ARID4B	BS_6VPKXXMR	2.0948657418385467e-8	4.8065843932462124e-4	-6.37	-1.54	862	1162.18	3404.13	39.86	TRUE	23	1	7
